question,answer
Chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ yêu cầu bao nhiêu tín chỉ?,160 tín chỉ
Khối kiến thức chung của chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,39 tín chỉ
Sinh viên chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ phải học học phần Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin 1 không?,Có
Học phần Tư tưởng Hồ Chí Minh thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,Khối kiến thức chung
Học phần Tiếng Anh cơ sở 1 (General English 1) có bao nhiêu tín chỉ trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,4 tín chỉ
Học phần Giải tích 1 (Calculus 1) thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,Khối kiến thức theo lĩnh vực
Học phần Cấu trúc dữ liệu và giải thuật (Data structures and algorithms) là học phần tiên quyết của môn học nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,Không có.
Học phần Lập trình hướng đối tượng (Object-oriented Programming) thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,Khối kiến thức theo nhóm ngành
Học phần Kiến trúc máy tính (Computer Architecture) yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,INT1003
Học phần Cơ sở dữ liệu (Database) thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,Khối kiến thức theo nhóm ngành
Học phần Trí tuệ nhân tạo (Artificial Intellegence) yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,INT2203
Học phần Chuyên đề Công nghệ (Technology workshop) thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,Khối kiến thức ngành
Sinh viên chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ có phải làm Khóa luận tốt nghiệp không?,Có
Khóa luận tốt nghiệp của chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,10 tín chỉ
Học phần Toán trong công nghệ (Mathematics for Engineering) yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính (chương trình chuẩn quốc tế) của Trường Đại học Công nghệ?,MAT1041
