question,answer
Tổng số tín chỉ của chương trình đào tạo ngành Công nghệ Thông tin là bao nhiêu?,126 tín chỉ.
Khối kiến thức chung của chương trình đào tạo ngành Công nghệ Thông tin chiếm bao nhiêu tín chỉ?,16 tín chỉ.
"Học phần ""Triết học Mác – Lênin"" thuộc khối kiến thức nào?",Khối kiến thức chung.
"""Kinh tế chính trị Mác – Lênin"" yêu cầu học phần tiên quyết là gì?",Triết học Mác – Lênin.
"Học phần ""Đại số"" thuộc khối kiến thức nào?",Khối kiến thức theo lĩnh vực.
"Học phần ""Giải tích 2"" yêu cầu học phần tiên quyết là gì?",Giải tích 1.
"Học phần ""Cấu trúc dữ liệu và giải thuật"" thuộc khối kiến thức nào?",Khối kiến thức theo khối ngành.
"Học phần ""Lập trình nâng cao"" thuộc khối kiến thức nào?",Khối kiến thức theo nhóm ngành.
"Học phần ""Hệ quản trị cơ sở dữ liệu"" yêu cầu học phần tiên quyết là gì?",Cơ sở dữ liệu.
"Học phần ""Phát triển ứng dụng Web"" yêu cầu các học phần tiên quyết nào?",Lập trình hướng đối tượng và Cơ sở dữ liệu.
"Học phần ""Thực tập chuyên ngành"" thuộc khối kiến thức nào?",Khối kiến thức ngành.
"Học phần ""Kiểm thử và đảm bảo chất lượng phần mềm"" thuộc định hướng chuyên sâu nào?",Công nghệ phần mềm.
"Học phần ""Cơ sở dữ liệu phân tán"" thuộc định hướng chuyên sâu nào?",Hệ thống thông tin.
"Học phần ""Mạng không dây"" yêu cầu học phần tiên quyết nào?",Mạng máy tính.
Khóa luận tốt nghiệp ngành Công nghệ Thông tin chiếm bao nhiêu tín chỉ?,7 tín chỉ.
