question,answer
Tổng số tín chỉ của chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ là bao nhiêu?,"136 tín chỉ (chưa tính các học phần Giáo dục thể chất, Giáo dục Quốc phòng – An ninh, Kỹ năng bổ trợ)."
Khối kiến thức chung của chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,"26 tín chỉ (chưa tính các học phần Giáo dục thể chất, Giáo dục Quốc phòng – An ninh, Kỹ năng bổ trợ)."
Học phần Triết học Mác – Lênin thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Khối kiến thức chung.
Học phần Kinh tế chính trị Mác – Lênin yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Triết học Mác – Lênin (PHI1006).
Học phần Tiếng Anh B1 thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Khối kiến thức chung.
Học phần Giải tích 2 yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Giải tích 1 (MAT1041).
Học phần Nhập môn lập trình thuộc khối kiến thức nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Khối kiến thức theo lĩnh vực.
Học phần Tín hiệu và hệ thống yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Giải tích 1 (MAT1041).
Học phần Cấu trúc dữ liệu và giải thuật yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Nhập môn lập trình (INT1008).
Học phần Lập trình nâng cao yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Nhập môn lập trình (INT1008).
Học phần Kiến trúc máy tính yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Nhập môn lập trình (INT1008).
Học phần Nguyên lý hệ điều hành yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Kiến trúc máy tính (INT2212).
Học phần Mạng máy tính yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Nhập môn lập trình (INT1008).
Học phần Trí tuệ nhân tạo yêu cầu học phần tiên quyết nào trong chương trình đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ?,Cấu trúc dữ liệu và giải thuật (INT2210).
"Để được xét tốt nghiệp ngành Khoa học Máy tính tại Trường Đại học Công nghệ, sinh viên có bắt buộc phải hoàn thành học phần Giáo dục quốc phòng – an ninh không?","Có, đây là điều kiện để xét tốt nghiệp, dù không tính vào điểm trung bình chung."
