question,answer
Tổng số tín chỉ của chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ là bao nhiêu?,165 tín chỉ.
Sinh viên ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ cần tích lũy bao nhiêu tín chỉ khối kiến thức chung?,21 tín chỉ.
Số tín chỉ của học phần Triết học Mác – Lênin trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ là bao nhiêu?,3 tín chỉ.
Học phần Kinh tế chính trị Mác – Lênin trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Triết học Mác - Lênin.
Học phần Giải tích 2 trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Giải tích 1.
Số tín chỉ của học phần Tiếng Anh B1 trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ là bao nhiêu?,5 tín chỉ.
Học phần Cấu trúc dữ liệu và giải thuật trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Nhập môn lập trình.
Học phần Toán học rời rạc trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu các học phần tiên quyết nào?,Đại số và Giải tích 1.
Học phần Cơ sở dữ liệu trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Nhập môn lập trình.
Học phần Mạng máy tính trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Nhập môn lập trình.
Học phần Truyền thông số và mã hóa trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Tín hiệu và hệ thống.
Học phần Mạng không dây trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Mạng máy tính.
Học phần An toàn và an ninh mạng trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ yêu cầu học phần tiên quyết nào?,Mạng máy tính.
Sinh viên ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ cần tích lũy tối thiểu bao nhiêu tín chỉ từ nhóm các học phần tự chọn?,33 tín chỉ.
Học phần Kỹ năng khởi nghiệp thuộc khối kiến thức nào trong chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu chất lượng cao theo Thông tư 23 của Trường Đại học Công nghệ?,Khối kiến thức ngành.
