question,answer
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ cần có những kiến thức nào về pháp luật?,Kiến thức pháp luật liên quan đến lĩnh vực được đào tạo.
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ cần đạt trình độ ngoại ngữ tối thiểu nào?,Tối thiểu tương đương bậc 3/6 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.
Sinh viên ngành Cơ kỹ thuật của Trường Đại học Công nghệ được trang bị kiến thức về những môn khoa học tự nhiên nào?,"Vật lý cơ, nhiệt, điện và quang."
Trường Đại học Công nghệ trang bị cho sinh viên ngành Cơ kỹ thuật những kiến thức nào về toán học?,Giải tích toán học và Đại số cao cấp.
Sinh viên ngành Cơ kỹ thuật của Trường Đại học Công nghệ cần có kiến thức về phương pháp tính toán nào?,Phương pháp tính toán số trong kỹ thuật.
Trường Đại học Công nghệ trang bị cho sinh viên ngành Cơ kỹ thuật những kiến thức nào về thống kê?,Xác suất và thống kê ứng dụng.
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ có thể làm việc ở những lĩnh vực nào?,"Cơ khí, Xây dựng, Giao thông, Thủy lợi, Môi trường, Dầu khí."
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ có thể làm việc tại những loại hình cơ sở nào?,"Cơ sở nghiên cứu, thiết kế, các tổ chức sản xuất, kinh doanh."
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ có thể đảm nhận những công việc nào liên quan đến kinh doanh?,"Phụ trách dịch vụ sau bán hàng, phát triển mẫu mã sản phẩm."
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ có thể làm nghiên cứu viên ở đâu?,Các cơ sở giáo dục đại học và các cơ sở nghiên cứu.
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ cần có những phẩm chất đạo đức cá nhân nào?,"Trung thực, lễ độ, khiêm tốn, nhiệt tình."
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ cần có những phẩm chất đạo đức nghề nghiệp nào?,"Có trách nhiệm với công việc, trung thành với tổ chức, nhiệt tình và say mê với công việc."
Sinh viên tốt nghiệp ngành Cơ kỹ thuật của Trường Đại học Công nghệ cần có những phẩm chất đạo đức xã hội nào?,"Có trách nhiệm với xã hội, tuân thủ luật pháp, có ý thức phục vụ, nhiệt tình tham gia các hoạt động xã hội."
"Sau khi tốt nghiệp ngành Cơ kỹ thuật, sinh viên có thể học tiếp lên bậc học nào?",Bậc sau đại học các chuyên ngành thuộc lĩnh vực Cơ kỹ thuật.
Trường Đại học Công nghệ trang bị cho sinh viên ngành Cơ kỹ thuật kỹ năng thiết kế loại quy trình nào?,"Kỹ năng thiết kế, phân đoạn qui trình thiết kế."
