question,answer
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ cần có kiến thức gì về lý luận chính trị?,"Cần trình bày được hệ thống tri thức khoa học về triết học Mác – Lênin, Kinh tế chính trị Mác – Lênin, Chủ nghĩa xã hội khoa học; và tư tưởng, đạo đức, giá trị văn hóa Hồ Chí Minh và lịch sử Đảng Cộng sản Việt Nam."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ cần có trình độ ngoại ngữ như thế nào?,Cần có năng lực ngoại ngữ đạt chuẩn tương đương bậc 4 theo khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ cần có kiến thức gì về tin học?,"Cần có khả năng phân tích, đánh giá và lập trình một ngôn ngữ lập trình bậc cao."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có cần thực hành về cấu trúc dữ liệu không?,"Có, sinh viên cần thực hành thành thạo được các kiến thức liên quan đến cấu trúc dữ liệu về mảng, danh sách liên kết, hàng đợi, ngăn xếp, cây nhị phân, bảng băm."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có cần thực hành về thuật toán không?,"Có, sinh viên cần thực hành thành thạo các thuật toán cơ bản liên quan đến sắp xếp, tìm kiếm trên các cấu trúc dữ liệu."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có cần thực hành các kiến thức cốt lõi của nhóm ngành không?,"Có, sinh viên cần thực hành thành thạo các kiến thức cốt lõi của nhóm ngành, bao gồm các phương pháp tính để xây dựng thuật toán, tối ưu các giải pháp công nghệ, điện, điện tử cơ sở, trường điện từ, xử lý tín hiệu, kiến trúc máy tính, mô hình hóa và mô phỏng sử dụng các phần mềm chuyên dụng cho ĐTVT."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ cần có kỹ năng chuyên môn gì?,Có kỹ năng hoàn thành công việc phức tạp đòi hỏi vận dụng kiến thức lý thuyết và thực tiễn của ngành được đào tạo trong những bối cảnh khác nhau.
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có cần kỹ năng lập trình không?,"Có, sinh viên cần lập trình thành thạo và biết sử dụng các công cụ phần mềm hỗ trợ."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có cần kỹ năng làm việc nhóm không?,"Có, sinh viên cần biết hợp tác với các thành viên khác trong nhóm và biết cách chia sẻ thông tin trong nhóm."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có cần kỹ năng giao tiếp không?,"Có, sinh viên cần biết truyền đạt vấn đề và giải pháp tới người khác tại nơi làm việc, chuyển tải, phổ biến kiến thức kỹ năng trong những việc thực hiện nhiệm vụ cụ thể hoặc phức tạp."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ cần có phẩm chất đạo đức cá nhân nào?,"Cần trung thực, lễ độ, khiêm tốn, nhiệt tình."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ cần có phẩm chất đạo đức nghề nghiệp nào?,"Cần có trách nhiệm với công việc, trung thành với tổ chức, nhiệt tình và say mê với công việc."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có thể làm những công việc gì?,"Có thể làm giảng viên/nghiên cứu viên, chuyên gia kỹ thuật, quản trị dự án kỹ thuật, hoặc doanh nhân trong lĩnh vực ĐTVT."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có thể học tiếp lên bậc học nào?,"Có thể học ở cấp học cao hơn (thạc sĩ, tiến sĩ) ở trong nước hoặc ở nước ngoài."
Sinh viên tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông (CLC TT23) của Trường Đại học Công nghệ có khả năng tự chủ và trách nhiệm như thế nào?,"Có khả năng làm việc độc lập hoặc làm việc theo nhóm trong điều kiện làm việc thay đổi; tự học tập, tích lũy kiến thức, kinh nghiệm để nâng cao trình độ chuyên môn nghiệp vụ;"
