question,answer
Tên chương trình đào tạo được mô tả trong văn bản này là gì?,Chương trình đào tạo ngành Vật lý kỹ thuật.
Chương trình đào tạo ngành Vật lý kỹ thuật thuộc trường nào?,"Trường Đại học Công nghệ, ĐHQGHN."
Người học sau khi tốt nghiệp cần đạt trình độ tiếng Anh tối thiểu nào?,Tương đương trình độ 3/6 Khung năng lực ngoại ngữ Việt Nam.
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có thể học lên bậc học nào?,"Thạc sĩ, tiến sĩ."
Người học sau tốt nghiệp có thể làm kỹ sư trong ngành nào?,Ngành Công nghệ Hàng không Vũ trụ.
Một trong những vị trí công tác sinh viên có thể đảm nhận là gì?,"Kỹ sư thiết kế, chế tạo các thiết bị bay, vệ tinh."
Kỹ sư ngành Công nghệ Hàng không Vũ trụ có thể làm gì liên quan đến hệ thống điều khiển?,"Thiết kế, lập trình các hệ thống điều khiển, hệ thống nhúng."
Kỹ sư ngành Công nghệ Hàng không Vũ trụ có thể làm gì liên quan đến ảnh viễn thám?,"Xây dựng hệ thống giám sát không gian, xử lý ảnh viễn thám."
Người học cần có những kiến thức cơ bản nào để giải quyết các bài toán liên quan đến kỹ thuật?,"Kiến thức cơ bản của Toán học, khoa học cơ bản, CNTT và lập trình."
Người học cần có kiến thức gì về kỹ thuật để tìm hiểu và xây dựng các hệ thống điện tử trong các thiết bị bay?,Kiến thức chung về kỹ thuật điện và điện tử.
"Người học cần có những kiến thức chuyên môn gì để phân tích, mô phỏng, thiết kế hoặc sửa chữa các thiết bị bay?",Kiến thức chuyên môn về khí động lực học.
Định hướng Công nghệ thông tin và Điện tử Hàng không trang bị cho người học những kiến thức nào?,"Kiến thức về phân tích thiết kế hệ thống mạch Điện-Điện tử, kỹ thuật thiết kế cao tần; các kiến thức cơ bản trong lập trình vi xử lý, lập trình các hệ thống nhúng, điều khiển phần cứng; các nguyên lý truyền và phát thông tin giữa thiết bị bay và mặt đất."
"Định hướng Động lực học, Điều khiển và Cơ khí Hàng không trang bị cho người học những kiến thức nào?","Kiến thức về cơ khí chế tạo, động lực học và mô hình hóa mô phỏng sự vận hành các thiết bị trong kỹ thuật hàng không vũ trụ, phân tích dữ liệu và nhận dạng hệ thống; các  kiến thứcvề xây dựng các hệ thống dẫn đường và điều khiển các thiết bị bay."
Định hướng Vệ tinh và Khoa học dữ liệu không gian trang bị cho người học những kiến thức nào?,"Kiến thức cơ bản về viễn thám, hệ thống thông tin địa lý, các kỹ thuật xử lý ảnh viễn thám, phân tích không gian, quản lý dữ liệu không gian, xây dựng hạ tầng thông tin không gian; kỹ thuật thiết kế, chế tạo và điều khiển vệ tinh."
Người học cần có những kỹ năng gì để làm việc hiệu quả trong nhóm?,"Lập kế hoạch, điều phối, quản lý nhóm làm việc hiệu quả."
