question,answer
Tên tiếng Việt của ngành đào tạo được nhắc đến trong văn bản là gì?,Thiết kế công nghiệp và đồ họa
Tên tiếng Anh của ngành Thiết kế công nghiệp và đồ họa là gì?,Industrial and Graphic Design
Mã số đề xuất của ngành đào tạo Thiết kế công nghiệp và đồ họa là bao nhiêu?,7529012
Trình độ đào tạo của ngành Thiết kế công nghiệp và đồ họa là gì?,Đại học
Danh hiệu tốt nghiệp của ngành Thiết kế công nghiệp và đồ họa là gì?,Cử nhân
Ngôn ngữ đào tạo của ngành Thiết kế công nghiệp và đồ họa là gì?,Tiếng Việt
Thời gian đào tạo ngành Thiết kế công nghiệp và đồ họa là bao lâu?,04 năm
Tên văn bằng tốt nghiệp tiếng Việt của ngành Thiết kế công nghiệp và đồ họa là gì?,Cử nhân ngành Thiết kế công nghiệp và đồ họa
Tên văn bằng tốt nghiệp tiếng Anh của ngành Thiết kế công nghiệp và đồ họa là gì?,Bachelor of Industrial and Graphic Design
Chương trình đào tạo ngành Thiết kế công nghiệp và đồ họa trang bị kiến thức gì về thiết kế?,"Thiết kế hệ thống, trang thiết bị, chi tiết máy, nhà xưởng, các công trình và sản phẩm công nghiệp"
Chương trình đào tạo ngành Thiết kế công nghiệp và đồ họa trang bị kiến thức gì về đồ họa?,"Thiết kế mĩ thuật, thiết kế đồ họa như nhận diện thương hiệu, sản phẩm hay thiết kế quảng cáo, sản phẩm và thiết kế nội thất nhà ở, trang thiết bị, khách sạn, khu nghỉ dưỡng"
Hình thức tuyển sinh của Trường Đại học Công nghệ đối với ngành Thiết kế công nghiệp và đồ họa là gì?,Xét tuyển theo các phương thức tuyển sinh do Bộ GDĐT và ĐHQGHN quy định
Đối tượng dự tuyển của Trường Đại học Công nghệ đối với ngành Thiết kế công nghiệp và đồ họa được quy định như thế nào?,Theo quy định của Bộ GDĐT và của ĐHQGHN.
Quy mô tuyển sinh ngành Thiết kế công nghiệp và đồ họa của Trường Đại học Công nghệ được xác định như thế nào?,Theo chỉ tiêu được ĐHQGHN giao hàng năm.
Sinh viên tốt nghiệp ngành Thiết kế công nghiệp và đồ họa có thể làm việc ở đâu?,Các công ty thiết kế trong và ngoài nước.
