question,answer
Chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ yêu cầu bao nhiêu tín chỉ?,152 tín chỉ.
"Sinh viên ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ cần hoàn thành bao nhiêu tín chỉ khối kiến thức chung (chưa tính GDTC, GDQP-AN và Kỹ năng bổ trợ)?",34 tín chỉ.
Sinh viên ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ cần hoàn thành bao nhiêu tín chỉ khối kiến thức theo lĩnh vực?,18 tín chỉ.
Sinh viên ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ cần hoàn thành bao nhiêu tín chỉ khối kiến thức theo khối ngành?,9 tín chỉ.
Sinh viên ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ cần hoàn thành bao nhiêu tín chỉ khối kiến thức theo nhóm ngành?,22 tín chỉ.
Sinh viên ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ cần hoàn thành bao nhiêu tín chỉ khối kiến thức ngành?,69 tín chỉ.
"Môn học ""Những nguyên lý cơ bản của chủ nghĩa Mác – Lênin 1"" (PHI1004) thuộc khối kiến thức nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Khối kiến thức chung.
"Môn học ""Đại số"" (MAT1093) thuộc khối kiến thức nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Khối kiến thức theo lĩnh vực.
"Môn học ""Tín hiệu và hệ thống"" (ELT2035) thuộc khối kiến thức nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Khối kiến thức theo khối ngành.
"Môn học ""Toán học rời rạc"" (INT1050) thuộc khối kiến thức nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Khối kiến thức theo nhóm ngành.
"Môn học ""Lập trình nâng cao"" (INT2202) thuộc khối kiến thức nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Khối kiến thức ngành (bắt buộc).
"Môn học ""Phương pháp tính"" (MAT1099) thuộc khối kiến thức nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Khối kiến thức ngành (bổ trợ).
"Môn học ""Lý thuyết thông tin"" (INT2044) thuộc khối kiến thức nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Khối kiến thức ngành (tự chọn chung).
Khóa luận tốt nghiệp ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ có bao nhiêu tín chỉ?,10 tín chỉ.
"Môn học ""Kiểm thử và đảm bảo chất lượng phần mềm"" (INT3117) thuộc định hướng nào của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ?",Công nghệ phần mềm.
