question,answer
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần đạt trình độ ngoại ngữ tối thiểu là bao nhiêu?,Bậc 3 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có kiến thức về lĩnh vực Vật lý nào?,"Vật lý cơ, nhiệt, điện và quang."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần nắm vững kiến thức nền tảng nào về CNTT?,"Lập trình, thuật toán và độ phức tạp, kiến trúc và tổ chức máy tính, hệ điều hành, tính toán dựa trên mạng, ngôn ngữ lập trình, đồ họa và tính toán trực quan, hệ thống thông minh."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có kiến thức về quản lý dự án HTTT nào?,"Chuẩn quản lý dự án, các khái niệm, vòng đời dự án, chín vùng tri thức quản lý và 42 quy trình quản lý dự án."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ có thể đảm nhiệm vị trí việc làm nào liên quan đến hệ thống thông tin?,"Chuyên viên thiết kế, phát triển và kiểm thử các HTTT, kiến trúc sư HTTT."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ có thể đảm nhiệm vị trí việc làm nào liên quan đến thương mại điện tử?,Chuyên viên phát triển ứng dụng thương mại điện tử.
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ có thể đảm nhiệm vị trí việc làm nào liên quan đến quản trị?,"Người quản trị HTTT, người quản trị hệ CSDL."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ có thể học lên bậc học nào?,"Thạc sỹ, tiến sỹ."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có kỹ năng nghề nghiệp chung nào?,Kỹ năng hoàn thành công việc phức tạp đòi hỏi vận dụng kiến thức lý thuyết và thực tiễn của ngành được đào tạo trong những bối cảnh khác nhau.
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có kỹ năng nào liên quan đến cải tiến tổ chức?,Thiết kế cơ hội để cải tiến tổ chức dựa trên CNTT.
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có kỹ năng nào liên quan đến quản lý CNTT?,Quản lý hoạt động CNTT đang diễn ra.
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có khả năng tư duy nào?,Khả năng lập luận tư duy và giải quyết vấn đề.
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có phẩm chất đạo đức cá nhân nào?,"Trung thực và công bằng, tiết kiệm và liêm chính."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có phẩm chất đạo đức nghề nghiệp nào?,"Tác phong và hành vi chuyên nghiệp, tính kiên nhẫn, khẩn trương và sẵn sàng cung cấp kết quả, tài xoay xở và linh động."
Sinh viên tốt nghiệp ngành Hệ thống thông tin của Trường Đại học Công nghệ cần có phẩm chất đạo đức xã hội nào?,"Trách nhiệm với xã hội, tuân thủ luật pháp, tính công bằng và tôn trọng sự đa dạng."
