question,answer
Trường Đại học Công nghệ – ĐHQGHN đào tạo những lĩnh vực nào?,"Công nghệ thông tin, truyền thông, tự động hóa và một số ngành công nghệ cao liên ngành."
Văn bằng tốt nghiệp ngành Công nghệ Thông tin CLC của Trường Đại học Công nghệ là gì?,Cử nhân.
Thời gian đào tạo chuẩn của ngành Khoa học máy tính CLC tại Trường Đại học Công nghệ là bao lâu?,4 năm.
Sinh viên ngành Mạng máy tính và truyền thông dữ liệu CLC của Trường Đại học Công nghệ được cấp bằng gì sau khi tốt nghiệp?,Kỹ sư.
Ngành Công nghệ Thông tin định hướng thị trường Nhật Bản của Trường Đại học Công nghệ cấp bằng gì?,Cử nhân.
Thời gian đào tạo chuẩn của ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ là bao lâu?,4 năm.
Văn bằng tốt nghiệp ngành Công nghệ kỹ thuật điện tử – viễn thông CLC của Trường Đại học Công nghệ là gì?,Cử nhân.
Sinh viên ngành Kỹ thuật máy tính của Trường Đại học Công nghệ được cấp bằng gì sau khi tốt nghiệp?,Kỹ sư.
Thời gian đào tạo chuẩn của ngành Kỹ thuật robot tại Trường Đại học Công nghệ là bao lâu?,"4,5 năm."
Văn bằng tốt nghiệp ngành Công nghệ kỹ thuật Cơ điện tử CLC của Trường Đại học Công nghệ là gì?,Cử nhân.
Ngành Kỹ thuật điều khiển và tự động hóa của Trường Đại học Công nghệ cấp bằng gì?,Kỹ sư.
Thời gian đào tạo chuẩn của ngành Cơ kỹ thuật tại Trường Đại học Công nghệ là bao lâu?,"4,5 năm."
Sinh viên ngành Vật lý kỹ thuật của Trường Đại học Công nghệ được cấp bằng gì sau khi tốt nghiệp?,Cử nhân.
Ngành Thiết kế công nghiệp và đồ họa của Trường Đại học Công nghệ cấp bằng gì?,Cử nhân.
Trường Đại học Công nghệ hợp tác với ai để cung cấp môi trường thực tập cho sinh viên?,"Một số tập đoàn công nghệ, doanh nghiệp hàng đầu."
