question,answer
Tổng số tín chỉ của chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ là bao nhiêu?,151 tín chỉ
Chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ có bao nhiêu tín chỉ khối kiến thức chung?,26 tín chỉ
Chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ có bao nhiêu tín chỉ khối kiến thức theo lĩnh vực?,19 tín chỉ
Chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ có bao nhiêu tín chỉ khối kiến thức theo khối ngành?,10 tín chỉ
Chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ có bao nhiêu tín chỉ khối kiến thức theo nhóm ngành?,30 tín chỉ
Chương trình đào tạo ngành Công nghệ Thông tin chất lượng cao tại Trường Đại học Công nghệ có bao nhiêu tín chỉ khối kiến thức ngành?,66 tín chỉ
Môn Kinh tế chính trị Mác – Lênin tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Triết học Mác – Lênin
Môn Giải tích 2 tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Giải tích 1
Môn Tín hiệu và hệ thống tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Giải tích 2
Môn Cấu trúc dữ liệu và giải thuật tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Nhập môn lập trình
Môn Lập trình nâng cao tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Nhập môn lập trình
Môn Kiến trúc máy tính tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Nhập môn lập trình
Môn Nguyên lý hệ điều hành tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Kiến trúc máy tính
Môn Mạng máy tính tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Nhập môn lập trình
Môn Lập trình hướng đối tượng tại Trường Đại học Công nghệ yêu cầu môn tiên quyết nào?,Nhập môn lập trình
