question,answer
Chương trình đào tạo ngành Thiết kế công nghiệp và đồ họa dành cho khóa nào?,QH-2024 trở đi.
Nội dung của chương trình đào tạo ngành Thiết kế công nghiệp và đồ họa bao gồm những gì?,"Giới thiệu chung, chuẩn đầu ra, và nội dung chương trình đào tạo."
Trang web được cung cấp nói về chương trình đào tạo của ngành nào?,Ngành Thiết kế công nghiệp và đồ họa.
Trường Đại học Công nghệ là một thành viên của trường đại học nào?,Đại học Quốc gia Hà Nội.
Tên tiếng Anh của Trường Đại học Công nghệ là gì?,Univeristy of Engineering and Technology.
Văn bản này có cung cấp thông tin về địa chỉ của Trường Đại học Công nghệ không?,Không.
Văn bản này có cung cấp thông tin về số điện thoại của Trường Đại học Công nghệ không?,Không.
Văn bản này có cung cấp thông tin về email của Trường Đại học Công nghệ không?,Không.
Văn bản này có cung cấp thông tin về website của Trường Đại học Công nghệ không?,Có.
Văn bản này tập trung vào thông tin gì của ngành Thiết kế công nghiệp và đồ họa?,Chương trình đào tạo.
Văn bản này có đề cập đến thông tin tuyển sinh của Trường Đại học Công nghệ không?,Không.
Văn bản này có đề cập đến các ngành học khác của Trường Đại học Công nghệ không?,Không.
Văn bản này có phải là thông báo chính thức của Trường Đại học Công nghệ không?,Không thể xác định từ văn bản.
Văn bản này có cung cấp thông tin chi tiết về nội dung chương trình đào tạo không?,"Không, chỉ đề cập đến việc nó là một phần của chương trình."
Văn bản này có mô tả về cơ hội việc làm sau khi tốt nghiệp ngành Thiết kế công nghiệp và đồ họa không?,Không.
