question,answer
Tên tiếng Việt của ngành đào tạo được nhắc đến trong văn bản là gì?,Kỹ thuật điều khiển và Tự động hóa
Tên tiếng Anh của ngành Kỹ thuật điều khiển và Tự động hóa là gì?,Control Engineering and Automation
Mã số ngành Kỹ thuật điều khiển và Tự động hóa là bao nhiêu?,7520216
Danh hiệu tốt nghiệp của ngành Kỹ thuật điều khiển và Tự động hóa là gì?,Kỹ sư
Thời gian đào tạo ngành Kỹ thuật điều khiển và Tự động hóa là bao lâu?,"4,5 năm"
Văn bằng tốt nghiệp ngành Kỹ thuật điều khiển và Tự động hóa có tên tiếng Việt là gì?,Kỹ sư ngành Kỹ thuật điều khiển và Tự động hóa.
Văn bằng tốt nghiệp ngành Kỹ thuật điều khiển và Tự động hóa có tên tiếng Anh là gì?,The Degree of Engineer in Control Engineering and Automation.
Người học ngành Kỹ thuật điều khiển và Tự động hóa sau khi tốt nghiệp sẽ có khả năng gì?,"Có kiến thức chuyên môn toàn diện, có kĩ năng thực hành cơ bản, có khả năng làm việc độc lập, sáng tạo và giải quyết những vấn đề thuộc ngành."
Tuyển sinh vào Trường Đại học Công nghệ dựa trên quy định của ai?,"Bộ Giáo dục và Đào tạo, Đại học Quốc gia Hà Nội và Trường Đại học Công nghệ."
Trường Đại học Công nghệ có đề án tuyển sinh riêng không?,Có.
Mục tiêu của chương trình đào tạo ngành Kỹ thuật điều khiển và Tự động hóa PO1 là gì?,Vận dụng kiến thức và kỹ năng để giải quyết vấn đề phức tạp và đề xuất giải pháp hiệu quả.
Mục tiêu của chương trình đào tạo ngành Kỹ thuật điều khiển và Tự động hóa PO3 là gì?,"Thể hiện khả năng làm việc độc lập, kỹ năng giao tiếp và làm việc nhóm."
Mục tiêu của chương trình đào tạo ngành Kỹ thuật điều khiển và Tự động hóa PO5 là gì?,"Thể hiện hành vi, thái độ, tác phong chuyên nghiệp, có đạo đức nghề nghiệp, trách nhiệm xã hội và tuân thủ pháp luật."
