question,answer
Tên đầy đủ của trường là gì?,"Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội."
Văn bản này đề cập đến học bổng nào?,Học bổng Vietcombank năm học 2024-2025.
Số lượng học bổng Vietcombank được trao tặng là bao nhiêu?,20 suất.
Tổng giá trị học bổng Ngân hàng TMCP Ngoại thương Việt Nam cấp là bao nhiêu?,200.000.000đ (Hai trăm triệu đồng chẵn).
Quyết định về việc tặng học bổng được đưa ra dựa trên nghị quyết nào của Hội đồng trường Đại học Công nghệ?,Nghị quyết số 985/NQ-HĐT ngày 08 tháng 11 năm 2022.
Quyết định về việc tặng học bổng được đưa ra dựa trên công văn nào của Ngân hàng TMCP Ngoại thương Việt Nam?,Công văn số 1299/VCB-TCNS ngày 24 tháng 10 năm 2023.
Ai là người đề nghị việc tặng học bổng Vietcombank?,Trưởng phòng Công tác Sinh viên.
Quyết định số 3568/QĐ-ĐHQGHN ngày 08 tháng 10 năm 2014 của Giám đốc Đại học Quốc gia Hà Nội quy định về vấn đề gì?,Quy định về tổ chức và hoạt động của các đơn vị thành viên và đơn vị trực thuộc ĐHQGHN.
Tiền học bổng sẽ được chuyển vào đâu?,Tài khoản cá nhân của sinh viên.
Hội đồng nào đã họp để xét duyệt việc tặng học bổng Vietcombank?,"Hội đồng thi đua khen thưởng – kỉ luật sinh viên Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội."
