question,answer
Trang web này cung cấp thông tin về chương trình đào tạo nào của Trường Đại học Công nghệ?,Chương trình đào tạo ngành Khoa học máy tính (CLC TT23).
Chương trình đào tạo ngành Khoa học máy tính (CLC TT23) của Trường Đại học Công nghệ dành cho khóa nào?,QH-2022 trở đi.
Trang web này còn cung cấp thông tin về các chương trình đào tạo nào khác của Trường Đại học Công nghệ?,"Chương trình đào tạo chất lượng cao (QH-2019 trở đi), chất lượng cao (QH-2016 đến QH-2018), chuẩn quốc tế (QH-2015 đến QH-2018), và chuẩn (QH-2015 đến QH-2018)."
Thông tin nào được giới thiệu chung về chương trình đào tạo trong tài liệu này của Trường Đại học Công nghệ?,Giới thiệu chung về chương trình đào tạo.
Thông tin nào được cung cấp về chuẩn đầu ra trong tài liệu này của Trường Đại học Công nghệ?,Chuẩn đầu ra của chương trình đào tạo.
Thông tin nào được cung cấp về nội dung đào tạo trong tài liệu này của Trường Đại học Công nghệ?,Nội dung chương trình đào tạo.
Chương trình đào tạo chuẩn quốc tế của Trường Đại học Công nghệ dành cho khóa nào?,QH-2015 đến QH-2018.
Chương trình đào tạo chuẩn của Trường Đại học Công nghệ dành cho khóa nào?,QH-2015 đến QH-2018.
Chương trình đào tạo chất lượng cao của Trường Đại học Công nghệ dành cho khóa QH-2016 đến QH-2018 có những thông tin gì?,"Không rõ, cần xem nội dung cụ thể của chương trình."
Chương trình đào tạo chất lượng cao của Trường Đại học Công nghệ dành cho khóa QH-2019 trở đi có những thông tin gì?,"Không rõ, cần xem nội dung cụ thể của chương trình."
Ngành Khoa học Máy tính (CLC TT23) của Trường Đại học Công nghệ là chương trình chất lượng cao hay chương trình chuẩn?,Chương trình chất lượng cao.
Trang web này thuộc về Trường Đại học nào?,"Trường Đại học Công nghệ, ĐHQGHN."
Chương trình Khoa học Máy tính (CLC TT23) của Trường Đại học Công nghệ có những nội dung đào tạo nào?,Cần xem nội dung chương trình đào tạo cụ thể.
Chương trình đào tạo ngành Khoa học Máy tính (CLC TT23) của Trường Đại học Công nghệ có chuẩn đầu ra không?,Có.
Tên tiếng Anh của Trường Đại học Công nghệ là gì?,Univeristy of Engineering and Technology (đã sửa lỗi chính tả trong văn bản gốc).
