question,answer
Tên tiếng Việt của ngành Khoa học máy tính tại Trường Đại học Công nghệ là gì?,Khoa học máy tính
Tên tiếng Anh của ngành Khoa học máy tính tại Trường Đại học Công nghệ là gì?,Computer Science
Mã số ngành đào tạo Khoa học máy tính tại Trường Đại học Công nghệ là gì?,52480101
"Sau khi tốt nghiệp ngành Khoa học máy tính tại Trường Đại học Công nghệ, sinh viên nhận được danh hiệu gì?",Cử nhân
Thời gian đào tạo ngành Khoa học máy tính tại Trường Đại học Công nghệ là bao lâu?,4 năm
Văn bằng tốt nghiệp ngành Khoa học máy tính chương trình chuẩn quốc tế tại Trường Đại học Công nghệ có tên tiếng Việt là gì?,Cử nhân ngành Khoa học máy tính (Chương trình đào tạo chuẩn quốc tế)
Văn bằng tốt nghiệp ngành Khoa học máy tính chương trình chuẩn quốc tế tại Trường Đại học Công nghệ có tên tiếng Anh là gì?,The Degree of Bachelor in Computer Science (International Stadard Program)
Chương trình đào tạo ngành Khoa học máy tính tại Trường Đại học Công nghệ hướng tới mục tiêu gì?,Tạo ra nguồn nhân lực chất lượng cao đạt chuẩn quốc tế trong lĩnh vực Khoa học máy tính.
Sinh viên ngành Khoa học máy tính tại Trường Đại học Công nghệ được trang bị những kiến thức nền tảng nào?,"Cơ sở toán trong KHMT, lập trình, cấu trúc dữ liệu và giải thuật, phân tích, thiết kế và đánh giá thuật toán, lý thuyết thông tin, chương trình dịch, trí tuệ nhân tạo."
Sinh viên tốt nghiệp ngành Khoa học máy tính tại Trường Đại học Công nghệ có thể làm việc ở vị trí nào?,Lập trình viên trình độ cao.
Hình thức tuyển sinh vào ngành Khoa học máy tính tại Trường Đại học Công nghệ được quy định như thế nào?,Theo quy định của Đại học Quốc gia Hà Nội.
Dự kiến quy mô tuyển sinh ngành Khoa học máy tính tại Trường Đại học Công nghệ là bao nhiêu sinh viên mỗi năm?,60 sinh viên / năm.
"Sinh viên ngành Khoa học máy tính tại Trường Đại học Công nghệ được trang bị những kiến thức chuyên sâu nào theo định hướng ""Các hệ thống thông minh""?","Xử lý ngôn ngữ tự nhiên, học máy, nhận dạng mẫu, tin sinh."
"Sinh viên ngành Khoa học máy tính tại Trường Đại học Công nghệ được trang bị những kiến thức chuyên sâu nào theo định hướng ""Tương tác người máy""?","Xử lý tiếng nói, xử lý ảnh, tương tác người máy tính, lập trình trò chơi."
Sinh viên tốt nghiệp ngành Khoa học máy tính tại Trường Đại học Công nghệ cần có những phẩm chất nào về thái độ?,"Phẩm chất chính trị tốt, ý thức tổ chức kỷ luật, có tác phong làm việc khoa học, nghiêm túc, có đạo đức nghề nghiệp về bảo vệ thông tin, bản quyền."
