question,answer
Tên chương trình đào tạo được mô tả trong văn bản này là gì?,Chương trình đào tạo ngành Kỹ thuật Robot.
Trường Đại học nào đang đào tạo ngành Kỹ thuật Robot được mô tả trong văn bản?,"Trường Đại học Công nghệ, ĐHQGHN."
Thời gian đào tạo chuẩn của chương trình Kỹ thuật Robot là bao lâu?,"4,5 năm."
Sinh viên tốt nghiệp chương trình Kỹ thuật Robot sẽ nhận bằng gì?,Kỹ sư.
Chương trình đào tạo ngành Kỹ thuật Robot yêu cầu bao nhiêu tín chỉ?,150 tín chỉ (chưa tính Giáo dục thể chất và Giáo dục Quốc phòng - An ninh).
Khối kiến thức chung của chương trình Kỹ thuật Robot chiếm bao nhiêu tín chỉ?,16 tín chỉ.
Học phần Triết học Mác - Lênin thuộc khối kiến thức nào của chương trình Kỹ thuật Robot?,Khối kiến thức chung.
Số tín chỉ của học phần Đại số trong chương trình Kỹ thuật Robot là bao nhiêu?,4 tín chỉ.
Học phần Giải tích 2 yêu cầu học phần tiên quyết nào trong chương trình Kỹ thuật Robot?,Giải tích 1.
Học phần Tín hiệu và hệ thống yêu cầu học phần tiên quyết nào trong chương trình Kỹ thuật Robot?,Giải tích 2.
Học phần Cấu trúc dữ liệu và giải thuật yêu cầu học phần tiên quyết nào trong chương trình Kỹ thuật Robot?,Nhập môn lập trình.
Học phần Nhập môn lập trình Robot thuộc khối kiến thức nào của chương trình Kỹ thuật Robot?,Khối kiến thức theo nhóm ngành.
Học phần Nguyên lý Kỹ thuật điện tử yêu cầu học phần tiên quyết nào trong chương trình Kỹ thuật Robot?,Vật lý đại cương 2.
Học phần Lập trình Robot với ROS thuộc khối kiến thức nào của chương trình Kỹ thuật Robot?,Khối kiến thức ngành.
Học phần Đồ án tốt nghiệp của chương trình Kỹ thuật Robot chiếm bao nhiêu tín chỉ?,10 tín chỉ.
