question,answer
URL của trang web chứa thông tin về chương trình đào tạo ngành Công nghệ Kỹ thuật Cơ điện tử là gì?,https://uet.vnu.edu.vn/chuong-trinh-dao-tao-nganh-cong-nghe-ky-thuat-co-dien-tu-4/
Tên chương trình đào tạo được đề cập trong văn bản là gì?,Chương trình đào tạo ngành Công nghệ kỹ thuật cơ điện tử (CLC TT23)
Chương trình đào tạo ngành Công nghệ Kỹ thuật Cơ điện tử thuộc trường nào?,"Trường Đại học Công nghệ, ĐHQGHN"
Văn bản đề cập đến chương trình đào tạo cho những khóa nào?,"QH-2022 trở đi, QH-2019 trở đi, QH-2015 đến QH-2018"
Trang web cung cấp thông tin về những nội dung chính nào của chương trình đào tạo?,"Giới thiệu chung, chuẩn đầu ra và nội dung chương trình đào tạo."
Chương trình đào tạo chất lượng cao ngành Công nghệ Kỹ thuật Cơ điện tử dành cho khóa nào?,QH-2019 trở đi
Chương trình đào tạo chuẩn ngành Công nghệ Kỹ thuật Cơ điện tử dành cho các khóa nào?,QH-2015 đến QH-2018
Tên tiếng Anh của Trường Đại học Công nghệ là gì?,Univeristy of Engineering and Technology
Văn bản này chủ yếu nói về chương trình đào tạo của ngành nào?,Ngành Công nghệ Kỹ thuật Cơ điện tử
Chương trình đào tạo ngành Công nghệ Kỹ thuật Cơ điện tử (CLC TT23) là chương trình chất lượng như thế nào?,Chương trình chất lượng cao.
Chương trình đào tạo chuẩn áp dụng cho khóa QH-2015 đến QH-2018 bao gồm những nội dung nào?,Văn bản không chỉ rõ nội dung chương trình đào tạo chuẩn.
Văn bản này có đề cập đến thông tin tuyển sinh của trường Đại học Công nghệ không?,Không.
Văn bản này có cung cấp địa chỉ của Trường Đại học Công nghệ không?,Không.
Văn bản này có cung cấp số điện thoại liên hệ của Trường Đại học Công nghệ không?,Không.
Văn bản này có cung cấp thông tin về học phí của chương trình đào tạo không?,Không.
