question,answer
Tên tiếng Việt của ngành đào tạo được đề cập trong văn bản là gì?,Trí tuệ nhân tạo
Tên tiếng Anh của ngành đào tạo được đề cập trong văn bản là gì?,Artificial Intelligence
Mã số ngành Trí tuệ nhân tạo là bao nhiêu?,7480207
Văn bằng tốt nghiệp ngành Trí tuệ nhân tạo là gì?,Cử nhân
Thời gian đào tạo ngành Trí tuệ nhân tạo là bao lâu?,4 năm
Tên văn bằng tiếng Việt sau khi tốt nghiệp ngành Trí tuệ nhân tạo là gì?,Cử nhân ngành Trí tuệ nhân tạo
Tên văn bằng tiếng Anh sau khi tốt nghiệp ngành Trí tuệ nhân tạo là gì?,The Degree of Bachelor in Artificial Intelligence
Mục tiêu chung của chương trình Trí tuệ nhân tạo tại Trường Đại học Công nghệ là gì?,"Đào tạo nguồn nhân lực đại học có trình độ cao về chuyên môn, có năng lực phát triển các hệ thống trí tuệ nhân tạo và phân tích dữ liệu tiên tiến."
Hình thức tuyển sinh vào ngành Trí tuệ nhân tạo của Trường Đại học Công nghệ như thế nào?,Theo Đề án tuyển sinh hàng năm được ĐHQGHN phê duyệt.
Những thí sinh nào được tuyển thẳng vào ngành Trí tuệ nhân tạo của Trường Đại học Công nghệ?,"Các thí sinh đạt giải chính thức kỳ thi Olympic, học sinh giỏi quốc gia, quốc tế các môn Toán, Tin học, Vật lí."
Trường Đại học Công nghệ có ưu tiên xét tuyển thẳng đối tượng nào vào ngành Trí tuệ nhân tạo không?,"Có, học sinh chuyên Toán, Tin học, Vật lí có giải cấp Tỉnh."
Trường Đại học Công nghệ có xét tuyển ngành Trí tuệ nhân tạo bằng chứng chỉ quốc tế nào không?,"Có, SAT, A-Level."
Sinh viên ngành Trí tuệ nhân tạo được trang bị những kiến thức và kỹ năng gì?,Các kiến thức và kĩ năng hiện đại đáp ứng nhu cầu phát triển và ứng dụng trí tuệ nhân tạo và công nghệ thông tin.
Sinh viên ngành Trí tuệ nhân tạo được đào tạo những kỹ năng bổ trợ nào?,"Khả năng tự học tự thích nghi, khả năng làm việc độc lập, khả năng làm việc trong môi trường công nghiệp trong và ngoài nước."
Đội ngũ giảng viên của chương trình Trí tuệ nhân tạo của Trường Đại học Công nghệ như thế nào?,Đội ngũ giảng viên giỏi.
