question,answer
Tên tiếng Việt của ngành Khoa học Máy tính tại Trường Đại học Công nghệ là gì?,Khoa học Máy tính
Tên tiếng Anh của ngành Khoa học Máy tính tại Trường Đại học Công nghệ là gì?,Computer Science
Mã số đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ là bao nhiêu?,7480101
Văn bằng tốt nghiệp ngành Khoa học Máy tính tại Trường Đại học Công nghệ là gì?,Cử nhân
Thời gian đào tạo ngành Khoa học Máy tính tại Trường Đại học Công nghệ là bao lâu?,4 năm
Tên văn bằng tốt nghiệp ngành Khoa học Máy tính chất lượng cao bằng tiếng Việt tại Trường Đại học Công nghệ là gì?,Cử nhân Khoa học Máy tính (Chương trình đào tạo chất lượng cao)
Tên văn bằng tốt nghiệp ngành Khoa học Máy tính chất lượng cao bằng tiếng Anh tại Trường Đại học Công nghệ là gì?,The degree of Bachelor in Computer Science (Honors Program)
Chương trình Khoa học Máy tính chất lượng cao của Trường Đại học Công nghệ tập trung theo hướng nào?,Công nghệ
Sinh viên ngành Khoa học Máy tính tại Trường Đại học Công nghệ được đào tạo chuyên sâu theo những định hướng nào?,"Phát triển hệ thống, Thương mại điện tử, Mạng máy tính, Các hệ thống thông minh và Tương tác người máy."
Hình thức tuyển sinh ngành Khoa học Máy tính của Trường Đại học Công nghệ theo quy định của ai?,Đại học Quốc gia Hà Nội
Quy mô tuyển sinh dự kiến hàng năm của ngành Khoa học Máy tính tại Trường Đại học Công nghệ là bao nhiêu?,60 sinh viên/năm
Sinh viên tốt nghiệp ngành Khoa học Máy tính tại Trường Đại học Công nghệ có khả năng làm việc ở những tập đoàn công nghệ quốc tế nào?,"IBM, Samsung, Nokia, LG"
Sinh viên tốt nghiệp ngành Khoa học Máy tính tại Trường Đại học Công nghệ có khả năng làm việc ở những công ty và tập đoàn lớn nào trong nước?,"FPT, Vietel"
Sinh viên tốt nghiệp ngành Khoa học Máy tính tại Trường Đại học Công nghệ cần có những phẩm chất nào?,"Phẩm chất chính trị tốt, ý thức tổ chức kỷ luật, tác phong làm việc khoa học, nghiêm túc, đạo đức nghề nghiệp về bảo vệ thông tin, bản quyền."
Sinh viên ngành Khoa học Máy tính tại Trường Đại học Công nghệ có được đào tạo tăng cường tiếng Anh không?,Có
