question,answer
Tên tiếng Việt của ngành đào tạo trong văn bản là gì?,Công nghệ Hàng không Vũ trụ (Ngành đào tạo thí điểm)
Tên tiếng Anh của ngành đào tạo trong văn bản là gì?,Aerospace Engineering
Danh hiệu tốt nghiệp của ngành Công nghệ Hàng không Vũ trụ là gì?,Kỹ sư
Thời gian đào tạo ngành Công nghệ Hàng không Vũ trụ là bao lâu?,"4,5 năm"
Tên văn bằng tốt nghiệp tiếng Việt của ngành Công nghệ Hàng không Vũ trụ là gì?,Kỹ sư ngành Công nghệ Hàng không Vũ trụ
Tên văn bằng tốt nghiệp tiếng Anh của ngành Công nghệ Hàng không Vũ trụ là gì?,The Degree of Engineer in Aerospace Engineering
Kỹ sư ngành Công nghệ Hàng không Vũ trụ sau khi tốt nghiệp 3-5 năm cần có khả năng gì?,Áp dụng kiến thức về hàng không vũ trụ để cung cấp sản phẩm theo nhu cầu xã hội.
Kỹ sư ngành Công nghệ Hàng không Vũ trụ sau khi tốt nghiệp 3-5 năm có thể làm gì?,Phát triển các công nghệ tiên tiến và đề xuất giải pháp cho vấn đề hàng không vũ trụ.
Kỹ sư ngành Công nghệ Hàng không Vũ trụ cần có kiến thức chuyên sâu về những lĩnh vực nào?,"Hàng không – Vũ trụ, Điện tử hàng không, Công nghệ thông tin, Khoa học vật liệu, Cơ học kỹ thuật và tự động hóa."
"Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có thể thiết kế, chế tạo những gì?","Thiết bị bay, vệ tinh."
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có thể nghiên cứu những lĩnh vực nào?,"Kỹ thuật thăm dò không gian, công cụ và thiết bị viễn thông, viễn thám."
Hình thức tuyển sinh của Trường Đại học Công nghệ vào ngành Công nghệ Hàng không Vũ trụ là gì?,Theo quy định của ĐHQGHN.
Ngành Công nghệ Hàng không Vũ trụ thuộc trường nào?,"Trường Đại học Công nghệ, ĐHQGHN"
Ngành Công nghệ Hàng không Vũ trụ đào tạo thí điểm thuộc bậc học nào?,Đại học
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có thể làm việc trong lĩnh vực nào khác ngoài hàng không vũ trụ?,Các lĩnh vực liên quan.
