question,answer
Tên đầy đủ của UET là gì?,"Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội."
Website chính thức của Trường Đại học Công nghệ là gì?,uet.vnu.edu.vn
Trường Đại học Công nghệ thuộc đại học quốc gia nào?,Đại học Quốc gia Hà Nội.
Địa chỉ của Trường Đại học Công nghệ là gì?,"144 Xuân Thủy, Cầu Giấy, Hà Nội."
Trường Đại học Công nghệ đào tạo các ngành thuộc lĩnh vực nào chủ yếu?,"Khoa học, Kỹ thuật và Công nghệ."
Ngành Công nghệ Thông tin của Trường Đại học Công nghệ có những chuyên ngành nào?,"Khoa học Máy tính, Kỹ thuật Phần mềm, Hệ thống Thông tin,... (Ví dụ)"
Thời gian đào tạo hệ đại học chính quy của Trường Đại học Công nghệ thường là bao lâu?,4 năm.
Phương thức tuyển sinh của Trường Đại học Công nghệ là gì?,"Xét tuyển thẳng, xét tuyển theo kết quả thi tốt nghiệp THPT, xét tuyển theo các kỳ thi đánh giá năng lực,..."
Văn bằng tốt nghiệp của sinh viên Trường Đại học Công nghệ là gì?,Cử nhân/Kỹ sư (tùy ngành).
Trường Đại học Công nghệ có chương trình đào tạo liên kết quốc tế không?,Có.
Trường Đại học Công nghệ có đào tạo hệ sau đại học không?,Có.
Khối thi xét tuyển vào ngành Công nghệ Thông tin của Trường Đại học Công nghệ thường là những khối nào?,"A00 (Toán, Lý, Hóa), A01 (Toán, Lý, Anh),... (Ví dụ)"
Trường Đại học Công nghệ có ký túc xá không?,Có.
Trường Đại học Công nghệ có các câu lạc bộ sinh viên không?,Có.
Trường Đại học Công nghệ có trung tâm hỗ trợ việc làm cho sinh viên không?,Có.
