question,answer
Trường Đại học Công nghệ ĐHQGHN đào tạo ngành nào trong văn bản này?,Trí tuệ nhân tạo.
Tổng số tín chỉ của chương trình đào tạo ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ là bao nhiêu?,"123 tín chỉ (chưa tính các học phần Giáo dục thể chất, Giáo dục quốc phòng – an ninh, Kỹ năng bổ trợ)."
Sinh viên ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ cần hoàn thành bao nhiêu tín chỉ khối kiến thức chung?,"21 tín chỉ (chưa tính các học phần Giáo dục thể chất, Giáo dục quốc phòng – an ninh, Kỹ năng bổ trợ)."
Khối kiến thức theo lĩnh vực của ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ chiếm bao nhiêu tín chỉ?,19 tín chỉ.
"Số tín chỉ của khối kiến thức theo khối ngành, nhóm ngành trong chương trình đào tạo ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ là bao nhiêu?",31 tín chỉ.
Sinh viên ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ phải học bao nhiêu tín chỉ thuộc khối kiến thức ngành?,42 tín chỉ.
Số tín chỉ của học phần Thực tập doanh nghiệp trong chương trình đào tạo ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ là bao nhiêu?,03 tín chỉ.
Số tín chỉ của Khóa luận tốt nghiệp hoặc nhóm học phần thay thế trong chương trình đào tạo ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ là bao nhiêu?,07 tín chỉ.
Học phần Triết học Mác – Lênin chiếm bao nhiêu tín chỉ trong chương trình đào tạo ngành Trí tuệ nhân tạo tại Trường Đại học Công nghệ?,3 tín chỉ.
Học phần Kinh tế chính trị Mác – Lênin yêu cầu học phần tiên quyết nào tại Trường Đại học Công nghệ?,Triết học Mác – Lênin.
Học phần Giải tích 2 yêu cầu học phần tiên quyết nào tại Trường Đại học Công nghệ?,Giải tích 1.
Học phần Tín hiệu và hệ thống yêu cầu học phần tiên quyết nào tại Trường Đại học Công nghệ?,Giải tích 2.
Học phần Cấu trúc dữ liệu và giải thuật yêu cầu học phần tiên quyết nào tại Trường Đại học Công nghệ?,Nhập môn lập trình.
Học phần Cơ sở trí tuệ nhân tạo yêu cầu học phần tiên quyết nào tại Trường Đại học Công nghệ?,Cấu trúc dữ liệu và giải thuật.
Học phần Học máy yêu cầu học phần tiên quyết nào tại Trường Đại học Công nghệ?,Xác suất thống kê và Cấu trúc dữ liệu và giải thuật.
