question,answer
Ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ thuộc Đại học Quốc gia Hà Nội yêu cầu bao nhiêu tín chỉ?,148 tín chỉ.
Khối kiến thức chung của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ bao gồm bao nhiêu tín chỉ?,21 tín chỉ.
Khối kiến thức chung theo lĩnh vực của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ bao gồm bao nhiêu tín chỉ?,22 tín chỉ.
Khối kiến thức chung cho khối ngành của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ bao gồm bao nhiêu tín chỉ?,10 tín chỉ.
Khối kiến thức ngành của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ bao gồm bao nhiêu tín chỉ?,65 tín chỉ.
Sinh viên ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ phải hoàn thành bao nhiêu tín chỉ thực tập và tốt nghiệp?,10 tín chỉ.
"""Triết học Mác - Lênin"" là môn học thuộc khối kiến thức nào của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Khối kiến thức chung.
"Học phần ""Giải tích 1"" thuộc khối kiến thức nào của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Khối kiến thức chung theo lĩnh vực.
"Học phần ""Cấu trúc dữ liệu và giải thuật"" yêu cầu học phần tiên quyết nào theo chương trình đào tạo ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Nhập môn lập trình.
"Học phần ""Kiến trúc máy tính"" thuộc khối kiến thức nào của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Khối kiến thức chung của nhóm ngành.
"Học phần ""Trí tuệ nhân tạo"" yêu cầu học phần tiên quyết nào theo chương trình đào tạo ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Cấu trúc dữ liệu và giải thuật.
"Học phần ""Phân tích và thiết kế thuật toán – Ứng dụng trong di động"" thuộc định hướng chuyên sâu nào của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Phát triển hệ thống.
"Học phần ""Phát triển ứng dụng Web"" yêu cầu học phần tiên quyết nào theo chương trình đào tạo ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Lập trình hướng đối tượng và Cơ sở dữ liệu.
"""Kỹ năng khởi nghiệp"" là môn học thuộc khối kiến thức nào của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ?",Khối kiến thức bổ trợ.
"Học phần ""Khóa luận tốt nghiệp"" của ngành Khoa học máy tính (CLC TT23) tại Trường Đại học Công nghệ có bao nhiêu tín chỉ?",10 tín chỉ.
