question,answer
Tên tiếng Việt của ngành đào tạo được nhắc đến trong văn bản là gì?,Khoa học dữ liệu
Tên tiếng Anh của ngành đào tạo được nhắc đến trong văn bản là gì?,Data Science
Mã số ngành đào tạo Khoa học dữ liệu của Trường Đại học Công nghệ là bao nhiêu?,7460108
Danh hiệu tốt nghiệp ngành Khoa học dữ liệu của Trường Đại học Công nghệ là gì?,Cử nhân
Thời gian đào tạo ngành Khoa học dữ liệu tại Trường Đại học Công nghệ là bao lâu?,4 năm
Văn bằng sau khi tốt nghiệp ngành Khoa học dữ liệu tại Trường Đại học Công nghệ có tên tiếng Việt là gì?,Cử nhân khoa học ngành Khoa học dữ liệu
Văn bằng sau khi tốt nghiệp ngành Khoa học dữ liệu tại Trường Đại học Công nghệ có tên tiếng Anh là gì?,The Degree of Bachelor of Science in Data Science
Chương trình đào tạo ngành Khoa học dữ liệu của Trường Đại học Công nghệ hướng đến đối tượng nào?,"Người học có phẩm chất chính trị, đạo đức xã hội, sức khỏe tốt"
Trường Đại học Công nghệ tuyển sinh ngành Khoa học dữ liệu bằng những hình thức nào?,"Xét tuyển thẳng, xét tuyển kết quả thi THPT, xét tuyển theo các chứng chỉ quốc tế, xét tuyển kết quả thi ĐGNL do ĐHQGHN tổ chức."
Đối tượng tuyển sinh của Trường Đại học Công nghệ cần đáp ứng điều kiện gì về học vấn?,Tốt nghiệp THPT hoặc có bằng tốt nghiệp nước ngoài được công nhận trình độ tương đương.
Trường Đại học Công nghệ có yêu cầu gì về sức khỏe đối với đối tượng tuyển sinh?,Có đủ sức khỏe để học tập theo quy định hiện hành.
Quy mô tuyển sinh ngành Khoa học dữ liệu của Trường Đại học Công nghệ là bao nhiêu sinh viên mỗi khóa?,120 sinh viên
Tên tiếng Việt của chương trình đào tạo được nhắc đến trong văn bản là gì?,Khoa học và kỹ thuật dữ liệu
Tên tiếng Anh của chương trình đào tạo được nhắc đến trong văn bản là gì?,Data Science and Engineering
Người tốt nghiệp ngành Khoa học dữ liệu của Trường Đại học Công nghệ có thể làm việc ở những đâu?,"Các đơn vị như trường đại học, viện nghiên cứu, doanh nghiệp, các tổ chức có nghiên cứu, triển khai hệ thống và công nghệ dữ liệu."
