question,answer
Tên tiếng Việt của ngành đào tạo được giới thiệu là gì?,Công nghệ Hàng không Vũ trụ
Tên tiếng Anh của ngành đào tạo được giới thiệu là gì?,Aerospace Engineering
Danh hiệu tốt nghiệp của ngành Công nghệ Hàng không Vũ trụ là gì?,Kỹ sư
Thời gian đào tạo ngành Công nghệ Hàng không Vũ trụ là bao lâu?,"4,5 năm"
Tên văn bằng tốt nghiệp tiếng Việt của ngành đào tạo là gì?,Kỹ sư ngành Công nghệ Hàng không Vũ trụ
Tên văn bằng tốt nghiệp tiếng Anh của ngành đào tạo là gì?,The Degree of Engineer in Aerospace Engineering.
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có khả năng gì sau 3-5 năm?,Áp dụng kiến thức về hàng không vũ trụ để cung cấp các sản phẩm theo nhu cầu xã hội.
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có thể phát triển gì?,Các công nghệ tiên tiến và đề xuất giải pháp cho vấn đề hàng không vũ trụ.
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có vai trò gì trong các nhóm làm việc đa ngành?,"Vai trò lãnh đạo, trung tâm."
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có thể thiết kế và chế tạo các thiết bị gì?,"Thiết bị bay, vệ tinh."
Hình thức tuyển sinh của Trường Đại học Công nghệ đối với ngành Công nghệ Hàng không Vũ trụ như thế nào?,Theo quy định tuyển sinh đại học của Đại học Quốc gia Hà Nội.
Dự kiến quy mô tuyển sinh của ngành Công nghệ Hàng không Vũ trụ là bao nhiêu?,Khoảng 60-100 sinh viên/ khóa học.
Ngành Công nghệ Hàng không Vũ trụ thuộc trường nào?,"Trường Đại học Công nghệ, ĐHQGHN"
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có thể nghiên cứu kỹ thuật gì?,Kỹ thuật thăm dò không gian.
Sinh viên tốt nghiệp ngành Công nghệ Hàng không Vũ trụ có kiến thức sâu rộng trong các lĩnh vực nào?,"Hàng không – Vũ trụ, Điện tử hàng không, Công nghệ thông tin, Khoa học vật liệu, Cơ học kỹ thuật và tự động hóa."
